date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:56:58	566751/566751	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20May%202022%2003:09:10%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html	C:/xampp/htdocs/Duan1/web2/risingtheme.com/html/demo-suruchi-v1/suruchi/index.html	(from )
22:56:59	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Nov%202023%2015:56:58%20GMT	https://risingtheme.com/robots.txt		(from )
22:56:59	766/766	---M-Z	200	added ('OK')	image/x-icon	date:Tue,%2006%20Oct%202020%2003:49:32%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/favicon.ico	C:/xampp/htdocs/Duan1/web2/risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/favicon.ico	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
22:57:00	15576/15576	---M-Z	200	added ('OK')	text/css	date:Sun,%2023%20Jan%202022%2019:20:56%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/assets/css/plugins/swiper-bundle.min.css	C:/xampp/htdocs/Duan1/web2/risingtheme.com/html/demo-suruchi-v1/suruchi/assets/css/plugins/swiper-bundle.min.css	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
22:57:00	13785/13785	---M-Z	200	added ('OK')	text/css	date:Sat,%2030%20Oct%202021%2002:17:20%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/assets/css/plugins/glightbox.min.css	C:/xampp/htdocs/Duan1/web2/risingtheme.com/html/demo-suruchi-v1/suruchi/assets/css/plugins/glightbox.min.css	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
22:57:01	155849/155849	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Feb%202022%2023:46:28%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/assets/css/vendor/bootstrap.min.css	C:/xampp/htdocs/Duan1/web2/risingtheme.com/html/demo-suruchi-v1/suruchi/assets/css/vendor/bootstrap.min.css	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
22:57:02	190587/190587	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20May%202022%2023:56:48%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/assets/css/style.css	C:/xampp/htdocs/Duan1/web2/risingtheme.com/html/demo-suruchi-v1/suruchi/assets/css/style.css	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
22:57:02	460/460	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Nov%202021%2022:33:48%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/icon/bus.png	C:/xampp/htdocs/Duan1/web2/risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/icon/bus.png	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
22:57:02	320/320	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Nov%202021%2022:40:06%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/icon/email.png	C:/xampp/htdocs/Duan1/web2/risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/icon/email.png	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
22:57:02	689/689	---M--	200	added ('OK')	image/png	date:Sat,%2023%20Oct%202021%2002:00:48%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/icon/language-icon.png	C:/xampp/htdocs/Duan1/web2/risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/icon/language-icon.png	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
22:57:03	444/444	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Sep%202021%2021:21:26%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/icon/usd-icon.png	C:/xampp/htdocs/Duan1/web2/risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/icon/usd-icon.png	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
22:57:03	1816/1816	---M--	200	added ('OK')	image/png	date:Fri,%2026%20Nov%202021%2018:31:42%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/logo/nav-log.png	C:/xampp/htdocs/Duan1/web2/risingtheme.com/html/demo-suruchi-v1/suruchi/assets/img/logo/nav-log.png	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
22:57:04	104105/104105	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20May%202022%2021:39:16%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/my-account.html	C:/xampp/htdocs/Duan1/web2/risingtheme.com/html/demo-suruchi-v1/suruchi/my-account.html	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
22:57:04	200074/200074	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20May%202022%2022:21:32%20GMT	https://risingtheme.com/html/demo-suruchi-v1/suruchi/wishlist.html	C:/xampp/htdocs/Duan1/web2/risingtheme.com/html/demo-suruchi-v1/suruchi/wishlist.html	(from https://risingtheme.com/html/demo-suruchi-v1/suruchi/index.html)
